intent,query,answer
일반상식,OVA가 뭐의 약자야,오리지널 비디오 애니메이션
일반상식,김일성종합대학 총장은 누구지,박관오 총장
일반상식,러시아의 윙스프렌즈 DVD는 어디서 발매해,노비 디스크회사
일반상식,야마쿠라 가즈히로가 현역으로 뛸때 포지션이 어디야,포수
일반상식,가리비 껍데기의 길이는,2~2.5cm
일반상식,프린스턴 전투에서 미국군과 결전을 펼친 영국군의 숫자는 얼마인가,1400명
일반상식,이란의 삼권 분립을 이루는 기관이 어디야,"입법부,사법부,행정부"
일반상식,소닉 크로니클즈 어둠의 형제는 어느 회사에서 제작했어,현재 EA에 인수된 BioWare
일반상식,미국의 헌법 4조에는 어떤 내용이 있어,"각 주의 권리와 의무, 주 간의 관계를 기술"
일반상식,흔히 4G와 혼동되는 이전 기술은,모바일 와이맥스와 3G LTE
일반상식,금산군 이중군의 차남이 누구야,이종동
일반상식,자카르트는 어느 나라 수도야,인도네시아
일반상식,2013 피파 클럽 월드컵에서 우승한 팀이 어디야,FC 바이에른 뮌헨
일반상식,대십자 철십자장 케이스는 어떻게 생겼어,훈장의 케이스는 스바스티카와 독수리가 새겨져 있으며 외부선이 금색으로 된 적색 가죽이 입혀졌다
일반상식,커트 코베인은 너바나의 어떤 멤버와 함께 로클롤 명예의 전당에 헌액됐지,"크리스 노보셀릭, 데이브 그롤"
일반상식,이광수 별명이 뭐야,광두꺼비
일반상식,마쓰이 가즈오의 출신 고등학교가 어디야,PL가쿠엔 고등학교
일반상식,진도희는 MBC 탤런트 몇 기로 연예계에 입문했어,4기
일반상식,백남기씨의 사망 시각이 어떻게 돼,오후 2시 15분
일반상식,호감의 시대라는 용어가 제일 처음 쓰인 날이 언제야,1817년 7월 12일
일반상식,한학수가 어느 방송사 pd로 일하고 있지,문화방송
일반상식,현대 스쿠프는 어떤 차야,현대자동차가 만든 대한민국산 자동차 최초의 쿠페
일반상식,발해를 건국한 인물은 누구야,대조영
일반상식,카림벤제마는 2014년 FIFA 월드컵 예선을 어디에서 했어,프랑스
일반상식,2006년 미국 야구 명예의 전당에 입성한 선수의 이름은 뭐야,하워드 브루스 수터
일반상식,감정부조화가 어떻게 과업 성과를 낮추지,감정소진을 증가시켜
일반상식,몇 년도에 메테르링크가 노벨문학상을 수상했지,1911년
일반상식,아바네로고추의 크기는,2~6 ㎝
일반상식,제임스 코널리의 기념비를 현재 어디서 볼 수 있어,더블린의 독립기념관
일반상식,조선상고사 언제 만들어진 책이야,1922년
일반상식,터키의 음식 카트메르를 설명해줘,"다진 고기, 토마토, 고추, 양파, 마늘 등을 넣고 만든 플랫브레드로 아랍어로 고기가 들어간 도우라는 뜻"
일반상식,러브홀릭스의 Butterfly는 어떤 영화의 주제곡이야,국가대표
일반상식,브리트니 스피어스는 언제 태어났어,1981년 12월 2일
일반상식,허버트 알렉산더 사이먼과 함께 행동 경제학의 탄생을 주도했던 인물은,다니엘 카너먼
일반상식,레이펑 기념관은 어디에 있어,고향인 창시와 순직지인 푸순
일반상식,노비사드는 오스트리아 헝가리 제국 시절에는 뭐라고 불렸어,노이자츠
일반상식,리닝은 중국 어디 출신이야,광시 성 라이빈 시
일반상식,1113년 2월 15일 파스칼2세가 발표한 교서제목은,지극히 경건한 요청
일반상식,노동당의 당대회는 얼마나 자주 열리지,2년마다
일반상식,에드워드 전쟁을 선포한 사람은,잉글랜드 국왕 에드워드 3세
일반상식,무인양품의 목적이 뭐야,고객이 '이게 좋다'가 아닌 '이거면 좋다'라는 이성적인 만족감을 느끼게하는 것
일반상식,쿡은 하와이 제도를 뭐라고 이름 붙였어,샌드위치 제도
일반상식,덴마크의 수도는 어디야,코펜하겐
일반상식,누가 월남사를 창건했어,진각국사
일반상식,닌텐도 스위치의 컨트롤러를 뭐라해,조이콘
일반상식,모랑이 죽은 원인은,비사벌(比斯伐)을 여행하던 도중 병을 얻어 요절
일반상식,티머니가 뭐야,한국스마트카드에서 발행하는 교통카드
일반상식,자간이 뭐지,글자와 글자 사이의 간격
일반상식,쑨원은 무슨 공로로 대한민국 건국헌장을 받았어,한국의 독립 운동 지원과 대한민국 임시 정부 창립에 커다란 일조
일반상식,카날레를 발렌시아의 전력 외로 분류한 감독이 누구야,후안 안토니오 피시
일반상식,2006년에 성선임이 등장한 국내 드라마 이름 알려줘,천국의 나무
일반상식,신민주주의당은 2004년부터 2007년 사이에 법인세율을 얼마나 인하했어,10%포인트
일반상식,제임스 스쿨크래프트 셔먼이 정치를 하기 전에 직업은 뭐였어,변호사
일반상식,우리나라 보물 제385호는 뭐야,창경궁의 명정문
일반상식,몸에 갑상샘 호르몬이 많이 나오면 어떻게 돼,식욕은 왕성해지지만 체중은 오히려 감소
일반상식,여수가 다른 반도 도시들보다 교통이 나은 이유가 뭐야,1960년대 중반 석유화학 공업단지가 조성
일반상식,이스라엘 민족의 모든 제사장은 무엇으로 구성되어 있지,레위인
일반상식,경술국치가 언제야,1910년
일반상식,드라마 야망의 전설에서 박창식이 죽인 사람이 누구야,이현준
일반상식,기체 크로마토그래피의 단점은,기체 크로마토그래피로부터 주입되는 기체의 압력을 조절해야 한다는 점
일반상식,꾸란은 무슨 말에서 나왔어,까라아(َقَرَأ)(읽다)라는 동사에서 파생
일반상식,차재욱이 활약한 공군 게임단은,공군 ACE
일반상식,인셉션의 마지막 장면이 어떻게 돼,토템이 흔들리며 오픈 엔딩으로
일반상식,레오폴트 2세는 어느 나라 왕이야,신성로마제국
일반상식,배우 차태현이 처음 연기에 입문한 게 언제야,1994년
일반상식,치치 라루는 몇년생이야,1959년
일반상식,처음 셰어 25가 생겼을 때의 대략적인 질량은,태양의 약 60배
일반상식,교황 호르미스다의 업적이 뭐야,"아카키우스 분열을 성공적으로 종식시켰으며, 로마와 콘스탄티노폴리스의 친교를 회복시키는 업적"
일반상식,HD 183263 b는 어떤 이론을 응용해서 발견했지,도플러 효과
일반상식,책 신비한 동물사전을 한국어로 번역한 사람이 누구야,최인자
일반상식,1979년 베를린 세계 양궁 선수권 대회 5관왕을 차지한 대한민국 여자 양궁선수는 누구야,김진호
일반상식,한국전쟁 참전국은 모두 몇 개국이야,16개국
일반상식,송원화동사합편강목이 제작된 목적이 뭐야,올바른 예의와 아름다운 풍속을 국민에게 가르치기 위해
일반상식,바다나리류에 속하는 대표적인 동물들은,바다나리·바다술·갯고사리
일반상식,사설업체 최초 모의고사 체제를 수립한 곳은,중앙교육진흥연구소
일반상식,노키아의 첫 스마트폰이 뭐야,노키아 9000
일반상식,비셰그라드는 행정구역상으로 어디에 속해,스릅스카 공화국
일반상식,육지에 사는 빈모류 중에서 큰건 어느 정도야,3m
일반상식,조양각은 누가 세운거야,이용
일반상식,나카오 다카요시가 컴백상을 받은 이유가 뭐야,"사이토 마사키, 구와타 마스미, 마카하라 히로미와 함께 호흡을 잘 맞춰서 팀의 일본 시리즈 우승에 기여"
일반상식,인어공주의 이름은,에리얼
일반상식,인크루트는 언제 설립된거야,1998년 11월 10일
일반상식,한국의 뱀 중 줄무늬뱀이랑 가까운 종은,산무애뱀
일반상식,캐나다 오타와를 연고지로 하는 아이스하키 팀은,오타와 세너터스(Ottawa Senators)
일반상식,로스앤젤레스 다저스와 라이벌팀은 어디야,샌프란시스코 자이언츠
일반상식,영화 L'Empire des Sens을 연출한 감독은,오시마 나기사 (大島 渚)
일반상식,폭스바겐 비틀이 미국 시장에 진입한게 언제야,1967년 8월
일반상식,오가와 야스히로는 언제 야구를 시작했어,초등학교 3학년 때
일반상식,만화 영화 위대한 명탐정 바실의 음향 포맷이 뭐지,돌비 스테레오
일반상식,병역판정검사가 뭐야,대한민국의 병역 제도에 있어 징병검사의 법률상 명칭
일반상식,유키 히로시의 유명 작품을 알려줘,"수학 걸, 수학 걸의 비밀노트 시리즈"
일반상식,몽골이 언제 키예프 대공국을 멸망시켰지,1240년
일반상식,후스 전쟁이 종료된 해 알려줘,1434년
일반상식,친일사인 윤택영의 딸은 누구야,순정효황후 윤씨
일반상식,말레이시아에서 보궐선거를 뭐라고 하지,소총선거
일반상식,어디가 싸스마 번의 직할지였어,아마미 군도
일반상식,방글라데시 국제공항이 어디야,샤잘랄 국제공항
일반상식,춤추는 대수사선의 스핀 오프 작품에는 어떤 게 있어,"《교섭인 마시타 마사요시》,《도망자 기지마 조이치로》"
일반상식,K리그 구단 산하 유소년 클럽 우선지명 선수의 계약조건은,"계약금 최고 1억 5천만원, 계약기간 5년, 기본급 3,600만원으로 계약"
일반상식,플레이스테이션 4는 언제 나왔어,2013년
일반상식,케일럽 케이시 맥과이어 애플렉이 누구야,"케이시 애플렉으로 잘 알려진 미국의 배우, 영화 감독, 영화 제작자와 영화 각본가"
일반상식,아일랜드 신화에 나오는 얼스터 대계 출신 울라의 왕비는,무간 에탄카트레크 잉겐 에하크 페들레크
일반상식,카스파르 다비트 프리드리히 작품이 2차 세계대전 후 기피의 대상이 된 이유가 뭐야,국수주의적 특징을 구현한 작품으로 간주한 나치의 오해로 인해
일반상식,아이크 전 대통령의 사망원인을 알려줘,울혈성 심장병
일반상식,니게룽의 반지 컴필레이션 버전은 누가 만들었어,프리드만 드레슬러
일반상식,요시미의 형이 누군데,요시마사
일반상식,최하위 훈작사를 받으면 이름 앞에 어떤 호칭이 붙지,Sir(경)
일반상식,축구선수 이정협 소속 팀이 어디야,김해시청 축구단
일반상식,후안 카를로스 파레데스가 왓퍼드 FC와 5년 계약을 체결한 목적은,노동 허가증과 국제 허가증을 확보하기 위해
일반상식,뱅어의 몸길이는 몇 cm야,10cm 내외
일반상식,오페라 돈 지오반니는 누가 작곡했어,모차르트
일반상식,산스크리트 문학의 발전을 보여주는 작품은 어떤게 있어,"칼리다사의 희곡 '샤쿤탈라', 서사시 '라마야나'"
일반상식,초창기 록 페스티벌의 특징에는 뭐가 있어,"개방된 전원 지역이나 운동경기장, 장터, 공원 등의 야외에서 개최되었고, 이틀 이상 지속되는 것이 전형적이었으며, 음악가들이 대거 등장해 상당한 규모의 군중을 끌어들였다"
일반상식,천왕성에 대해 설명해줘,태양에서부터 일곱번째로 떨어져 있으며 세 번째로 반지름이 크고 네 번째로 질량이 큰 태양계의 행성
일반상식,조선일보는 북한이 무슨 무기를 사용한다고 추측성 기사를 내보냈어,인간어뢰
일반상식,로블로우 사가 할인매장을 운영한 기간은,1961년부터 1971년까지
일반상식,소행성 이다가 뭐야,"이다는 1884년 9월 29일 빈 천문대에서 오스트리아의 천문학자 요한 팔리사에 의해 발견되었으며, 팔리사가 발견한 45번째 소행성"
일반상식,훌리오 코보스가 누구의 런닝 메이트로 대통령 선거에 참여했었어,크리스티나 페르난데스 데 키르치네르
일반상식,방사성 폐기물의 저준위 폐기물은 어떻게 구분되지,"A, B, C, GTCC의 4단계"
일반상식,2003년에 문성근은 어떤 자격으로 방북했어,대통령 노무현의 대북특사
일반상식,이휘소의 대표적인 제자를 알려줘,강주상 고려대학교 물리학과 명예교수
일반상식,무슨 다리가 기사라즈 시와 가와사키 시를 연결하지,도쿄 만 아쿠아라인
일반상식,전기 가오리는 어디서 살아,따뜻한 바다 밑바닥
일반상식,Enercon은 어느 나라의 풍력발전소를 건설했지,"독일, 포르투갈, 영국"
일반상식,민족의 태양 김일성 장군은 언제 쓰여진 책이야,1968년
일반상식,글래드스턴의 정치적 입장은 뭐라고 이야기 할 수 있어,자유주의
일반상식,백태웅이 박노해와 함께 조직한 연맹이 뭐야,남한사회주의노동자동맹(사노맹)
일반상식,척준경을 보낸 사람이 누구야,이자겸
일반상식,축구 선수 로가 데뷔한날은 언제야,1958년 10월 18일
일반상식,전 테니스 선수 조윤정의 그랜드 슬램 최고 성적이 어떻게 돼,2005년 US 오픈에서 3회전에 진출
일반상식,우시 사도시는 무슨 말로 쓰여졌지,우즈베크어
일반상식,애드호크라시 개념을 발전시킨 학자에는 누가 있어,헨리 민츠버그
일반상식,특수작전특공대는 어떤 사람들을 죽여,"유대인, 폴란드 식자층, 집시, 공산주의자, NKVD 협조자들"
일반상식,김인식 감독 몇 년생이야,1947년
일반상식,마이애미 마스터스는 무슨 대회야,매년 3월 미국 플로리다 주 에서 개최되는 남녀 통합 테니스 대회
일반상식,메이저 6기는 몇 화까지 있어,25화
일반상식,2010년 포르투갈 리그 득점왕은 누구야,오스카르 레네 카르도소 마린
일반상식,김일성의 사위는 누구야,장성택
일반상식,2011년 서울 장충체육관에서 열린 종합격투기 단체 로드 FC의 이름이 뭐야,Road FC 005: Night of Champions
일반상식,이준기가 제대한 게 언제야,2012년 2월 16일
일반상식,달레이 블린트의 국적을 알려줘,네덜란드
일반상식,마틴 밴 뷰런은 누구랑 결혼했어,한나 호이스
일반상식,8퀸 문제가 뭔지 알려줘,8x8크기의 체스판에 퀸(퀸 (체스))을 8개 배치하는 문제
일반상식,물과 비눗물 중 표면장력이 약한 것은,비눗물
일반상식,사프란이 노란색을 띄는 이유는,카로테노이드(carotenoid) 색소와 크로신(crocin)이라는 화학 물질
일반상식,장바티스트카미유 코로는 어느나라 사람이야,프랑스
일반상식,이바라키 공항이 군용비행장으로 사용되다 민간에서 이용된 게 언제부터야,2008년
일반상식,언제 일본이 진주만을 공격했어,1941년 12월 7일
일반상식,메탈클래드 사에게 폐기물 매립장 허가를 준 정부 이름은,멕시코 연방 정부 및 산루이스포토시 주 정부
일반상식,신대우의 완구유집이 전체 몇 권짜리야,10권
일반상식,강력한 태풍이 한반도에 상륙했던 이유가 뭐야,당시 한반도 주변 해역의 해수면 온도가 평년보다 높았던 것과 비교적 빨랐던 태풍의 이동속도
일반상식,퍼펙트 건담의 장갑은 무슨 소재야,루나-티타늄 합금 (통칭 건다리움 합금)
일반상식,자본적 제약산업의 정의를 알려줘,그 산업을 창설하고 운영하는 데 있어 다른 산업에 비하여 많은 자본을 필요로 하는 산업
일반상식,압둘라 오잘란이 나이로비에서 체포된 날짜는,1999년 2월 17일
일반상식,Yellow Submarine 앨범의 수록후보였으나 제외된 노래가 뭐지,Across the Universe
일반상식,일본 만화 학생회 임원들의 작가는 누구야,우지이에 토젠
일반상식,영화 신의 한수에서 태석역할을 한 배우가 누구야,정우성
일반상식,디아블로 투를 하기위한 접속방법을 알려줘,LAN(근거리 통신망)이나 배틀넷
일반상식,한창기는 어느 대학 출신이야,서울대학교
일반상식,청자 상감 모란국화문 참외모양 병에 새겨진 무늬가 뭐야,모란과 국화
일반상식,15-16시즌을 앞두고 레알마드리드가 데 헤아를 영입하려한 이유가 뭐야,카시야스의 대체자를 찾고 있던 레알 마드리드
일반상식,죽서기년이 최초로 발견된 장소는,위나라 양왕의 무덤
일반상식,미나가와 료지 데뷔 연도는,1988년
일반상식,비르키베이나르는 어디서 유래한 말이야,자작껍질
일반상식,최초의 핵무기 폭발실험은 어느 나라에서 시행했어,미국
일반상식,1988년에 은하영웅전설이 수상한 상은 뭐야,성운상
일반상식,단테 작품 중에 가장 유명한 게 뭐야,신곡
일반상식,채의림의 Don't Stop은 어떤 곡을 번안한 곡이야,Bring It All Back
일반상식,호세 마리아 피게레스 올센이 오스카르 아리아스 정부에서 어떤 역할을 역임했어,외교통상장관과 농업장관
일반상식,정희왕후는 어느 왕의 아내야,세조
일반상식,도고가 주장한 일조건 항복론이 뭐야,국체호지 하나만 남기고 다 버려야 한다
일반상식,레전다리움 세계로 들어갈려면 뭐가 필요해,지팡이
일반상식,영화 피아니스트를 제작한 감독은,로만 폴란스키
일반상식,한국이 광복을 맞은 년도가 언제야,1945년
일반상식,p53은 무슨 유전자야,종양 억제 유전자(tumor suppressor)
일반상식,한예슬은 연예계 데뷔가 언제야,2001년 SBS 슈퍼모델 선발대회
일반상식,모술 일대에는 어떤 민족이 살지,쿠르드족
일반상식,우크라이나 프리미어리그의 첫시즌 우승팀이 어디지,SC 타우리야 심페로폴
일반상식,제주도에 살고있는 인구를 성별로 알려줘,"남성 299,643명, 여성 298,372명"
일반상식,고전학파의 이분법이 뭐야,고전파 경제학이 거시경제학에서 실질 변수와 명목 변수를 나누는 것
일반상식,박수범의 스타 주종은,프로토스
일반상식,뜨거운 것이 좋아가 골든 글로브에서 무슨 상을 탔어,뮤지컬/코미디 작품상
일반상식,로버트 E. 켈리가 박사학위를 취득한 대학은 어디지,오하이오 주립 대학교
일반상식,어떤 세포가 모세혈관을 보호해,주(周)세포
일반상식,불교의 10수면이 뭐야,10가지 근본번뇌
일반상식,Go는 누가 개발한 프로그래밍 언어지,구글
일반상식,천태대사 지의는 무엇을 소의경전으로 삼아,쿠마라지바가 번역한 묘법연화경
일반상식,가가린 사망일 알려줘,1968년 3월 27일
일반상식,월성원자력환경관리센터가 버틸 수 있는 지진 크기는,진도 6.5
일반상식,조선 태종 다음의 왕은 누구였어,세종대왕
일반상식,도고 시게노리가 다니던 소학교 이름을 알려줘,시모이슈인 촌립심상(下伊集院村立尋常) 소학교
일반상식,서재필이 입양되어 살게 된 곳은 어디야,충청남도 은진군 진잠
일반상식,헤퍼론이 남아공에 정착하게 된 계기가 된 사건은,보어 전쟁
일반상식,더 스테이션 나이트클럽은 어디에 위치하고 있는 거였어,로드 아일랜드 웨스트 워윅
일반상식,2차 세계대전에서 일본이 공식적으로 항복한 날은 언제야,1945년 9월 2일
일반상식,중앙 아메리카에서 가장 작은 나라는 어디야,엘살바도르
일반상식,에른스트 아우구스트 1세가 입대했던 군대는 어디였어,하노버 왕국의 군대
일반상식,창원중앙역은 언제부터 시작했어,2010년 12월 15일
일반상식,광종 때 고려에서 무슨 종교 믿었어,불교
일반상식,에리옵스는 몸무게가 어느정도야,90 kg
일반상식,벽류정에는 몇 개의 현판이 있어,11개
일반상식,1963년의 백색 혁명을 주도한 사람은 누구지,모하마드 레자 팔라비 국왕
일반상식,영화 오늘 주연 배우가 누구야,송혜교
일반상식,판소리 다섯 마당에서 동편제의 창법과 가장 잘 조화되는게 뭐야,적벽가
일반상식,중국의 이창은 어디있어,장강의 싼샤(삼협)의 하류
일반상식,국제연맹 창립 연도가 언제야,1920년
일반상식,판타스틱 Mr. 폭스에 성우로 출연한 배우는 누구야,"조지 클루니, 메릴 스트립, 제이슨 슈워츠먼, 빌 머리, 오언 윌슨"
일반상식,떼제 공동체는 어느 나라에 있어,프랑스
일반상식,터키에서 가장 많은 관중을 수용할 수 있는 경기장은,아타튀르크 올림픽 스타디움(터키어: Atatürk Olimpiyat Stadı)
일반상식,몰몬의 책은 누가 만든 뮤지컬이야,"트레이 파커, 로버트 로페즈, 맷 스톤"
일반상식,한국의 귀신고래가 사라진 건 언제야,일제강점기
일반상식,태양계에서 지질학적으로 가장 활성화 된 위성은 뭐야,이오
일반상식,폴란드 왕위 계승 전쟁은 어떻게 끝났지,빈 조약
일반상식,2008년 이스라엘과 시리아 사이를 중재한 나라가 어디야,터키
일반상식,당나귀는 키가 어느정도야,1m
일반상식,최윤겸이 대전 시티즌 감독이 된 게 어디야,2003년 1월
일반상식,존 키츠는 뭐 하던 사람이었어,시인
일반상식,베스트 코리아 브랜드는 몇 년도부터 발표됐어,2013년부터
일반상식,동양의 파리라고 불리는 베트남의 도시는 어디야,호치민
일반상식,AEK 아테네 FC의 홈구장의 수용인원은 몇 명이야,"70,000명"
일반상식,몽골 제국은 중국사에 무슨 나라로 기록돼 있어,원
일반상식,메탈리카가 헤드폰 콘서트를 연 장소가 어디야,남극의 Carlini Station
일반상식,불교의 심의식이 뭐야,심(심 (불교))(心)의(의 (불교))(意)식(심의식)(識)의 세 낱말을 합친 복합어
일반상식,1918년에 독립한 리투아니아가 다시 소련에 흡수된 건 언제야,1940년
일반상식,영광 불갑사 동종은 언제 제작된거야,18세기 초
일반상식,다이라노 마사카도가 어느 시대 사람이야,헤이안 시대 중기
일반상식,구조적 프로그래밍이 뭐야,프로그램을 잘개 쪼개어 작업하기 쉽도록 만드는 것을 돕기 위한 기법
일반상식,국제법은 국내법과 비교해서 어떤 한계점이 있어,권력적 요소가 희박하고 실효성이 없다
일반상식,죄형법정주의의 기초가 되는 사상이 뭐지,계몽사상
일반상식,애그니스 모니카 물료토가 And the Story Goes를 발표한 건 언제지,2003년
일반상식,덴마크 사민당 내의 청년조직을 알려줘,덴마크 사회민주주의 청년
일반상식,축구선수 마르코 타르델리는 현재 어떤 팀의 코치를 맡고있어,아일랜드 축구 국가대표팀
일반상식,도쿠가와 이에야스는 어디에 묻혔어,닛코 동조궁
일반상식,에콰도르 의회는 언제 쉬는거야,7월과 12월
일반상식,전세계 케이트보딩 시장이 일년동안 내는 수익은,48억
일반상식,브라이언 윌슨 커니핸은 어디서 박사를 했지,프린스턴 대학
일반상식,주안 미로가 파리만국박람회에 출품한 작품은,추수
일반상식,부시먼의 뜻이 뭐야,수풀(bush) 속에 사는 사람
일반상식,방술을 연마하는 사람을 보통 뭐라고 해,방사(方士)
일반상식,밀란 바로시가 선수로 활동한 팀을 알고 싶어,"리버풀(리버풀 FC), 애스턴 빌라(애스턴 빌라 FC), 올랭피크 리옹 등"
일반상식,산 칼리스토의 카타콤베는 어디에 있어,이탈리아 로마의 아피아 가도
일반상식,사사키의 포크볼은 뭐라고 불렸어,"악력이 매우 강하고, 사사키가 던지는 낙차가 큰 포크볼은 ‘2층에서 오는 포크볼’이라고도 형용됐다"
일반상식,칼텍에서 일할 때 슈미트가 발표한 법칙은,케니커트-슈미트 법칙
일반상식,Rc4 기관차가 부여받은 번호는 뭐야,X995
일반상식,메밀방죽 위치가 어디야,군서면 서구림리와 학산면 용산리의 경계
일반상식,경애왕은 어디에서 죽었어,포석정(鮑石亭)
일반상식,신해혁명은 언제 일어난거야,1911년
일반상식,CONMEBOL이 뭐야,남미 축구 연맹
일반상식,혜제 원년이 언제야,기원전 194년
일반상식,독일 국가색이 뭐야,"흑색, 적색, 금색"
일반상식,박지원이 누구야,"조선 후기의 문신, 실학자(실학)이자 사상가, 외교관, 소설가"
일반상식,내막계 원형질막의 구조는,인지질 2중층
일반상식,올림픽에서 여자 축구는 언제부터 공식적으로 추가됐지,1996년
일반상식,가정폭력의 현장에 있는 아이들이 겪게 되는 게 뭐야,아동 학대
일반상식,다니엘 파체코는 2010년 UEFA 대회에서 어떤 상을 수상했지,골든 부츠
일반상식,애니메이션 슬램덩크를 만든 곳이 어디야,도에이
일반상식,한미FTA 통상교섭본부장이 누구였어,김종훈
일반상식,로버트 루서가 개발한 로켓의 이름은 뭐야,V-1로켓
일반상식,오스트레일리아까치는 얼마나 자라,37 ~ 43 센티미터
일반상식,타코클라인은 어느 학문에서 연구하고 있지,태양지진학
일반상식,고베에서 외국인은 어디서 머물렀어,고베 촌(현 효고 현 고베 시 주오 구
일반상식,링컨을 암살한 사람은 누구야,존 윌크스 부스
일반상식,교황 다마소 2세는 몇 대 교황이야,제151대 교황
일반상식,독일의 육상선수 질케 묄러의 원래 성은,글라디슈
일반상식,윤지완은 받은 시호가 뭐지,충정
일반상식,파키스탄은 언제 독립했어,1947년
일반상식,홍성민은 언제 숭정대부가 됐어,1590년
일반상식,울산과학기술원법이 생긴게 언제야,2015년 3월 27일
일반상식,1993년 시즌 종료 후 야구선수 구도 기미야스의 팀 선택은,1993년 시즌 종료 후 그 해에 처음으로 도입된 FA 권리를 취득했지만 세이부에 잔류
일반상식,은하철도 999에서 기계화 인간이 되면 받게 되는 것은,메갈로폴리스 시민권
일반상식,2008년 골든디스크 디지털 음원 부문 본상은 누가 받았어,브라운 아이드 걸스
일반상식,빌리빅스 요정에게는 몇 가지 날개가 있지,세 가지
일반상식,조선시대에 공신은 누가 받는 관직이었어,"조선시대 개국이나 반정, 반란 진압 등에 공을 세운 사람"
일반상식,푸톈 시의 중심지가 어디야,리청 구
일반상식,마쓰에 소요 사건이 뭔지 말해줘,"1945년 8월 24일 새벽, 일본 제국 시마네 현의 현청 소재지 마쓰에 시에서 청년 단체 ""황국의용군""에 속한 수십명이 무장 봉기하여 현내 주요 시설을 습격한 사건"
일반상식,글렌나비박쥐의 서식지는 어디야,카메룬과 우간다
일반상식,멀리뛰기에 사용되는 구름판의 너비는 얼마야,20cm
일반상식,아일랜드 공화주의 형제단의 미국 조직 이름이 뭐야,피니언 형제단
일반상식,비욘세 노래 싱글 레이디 뮤직비디오 감독이 누구야,제이크 나바
일반상식,영원의 제로 출판을 맡은 회사는,하위문화계열 출판사 오타출판
일반상식,수학동아의 주독자층은 누구야,초중고생
일반상식,이탈리아에서 3대 테너라고 불린 스포츠선수가 누구야,카바니
일반상식,코롤라 E90이 발표된 해는 언제야,1987년
일반상식,대한민국 제5회 지방선거일이 언제야,2010년 6월 2일
일반상식,조지 해리슨이 누구야,"영국의 기타 연주자, 싱어송라이터, 그리고 음악 및 영화 프로듀서"
일반상식,야구선수 정민철의 입단 첫 해 승리 횟수는,14승
일반상식,노무현 전 대통령은 언제 사망했어,2009년 6월 1일
일반상식,베트남에서 네번째로 큰 도시는 어디야,다낭
일반상식,노자라는 곡은 누굴 디스하려고 쓴거지,조PD와 DJ Uzi
일반상식,뵤도인이 지어진 시대는,헤이안 시대
일반상식,전주라는 지명을 사용한건 언제부터야,신라 경덕왕 16년
일반상식,척추동물의 숙주를 알려줘,주로 원숭이와 사람
일반상식,카라 정규앨범 제목이 뭐야,the First Bloooooming
일반상식,일본의 징병제는 무슨 법에 위배돼,"일본국 헌법 제18조 (노예적 구속으로부터), 제9조 (전쟁 포기)"
일반상식,많은 해적들이 찾으려고 하는 원피스가 대체 뭐지,"전설의 해적왕 골 D 로저 그가 남긴 부, 명성, 권력의 모든 것인 대비보"
일반상식,시스템 관리 버스 동작 주파수 범위는 어떻게 되지,10 kHz에서 100 kHz
일반상식,루카스 오센드라이버는 언제 태어났어,1970년
일반상식,윙즈가 사는 알피아는 어떤 곳이야,Magix(매직스)라는 보통 사람이 들어갈 수 없는 세계
일반상식,마나키 레이카가 다시 여역으로 전향한 건 몇 년차 때지,3년차
일반상식,리버풀은 스터리지 이적료로 얼마나 썼어,1200만 파운드
일반상식,AHA는 무슨 말의 약자야,American Humanist Association
일반상식,케이맨 제도에 많은 회사는,자산운용 회사나 특수목적 회사
일반상식,요코하마 외 일본 차이나타운 뭐 있는지 알아,"고베 차이나타운, 나가사키 차이나타운, 도쿄 이케부쿠로 차이나타운"
일반상식,홈런과 도루 부문 모두 1위를 처음 차지한 선수는,행크 애런
일반상식,인권 교육과 세계시민을 위한 센터의 책임자는 누구지,오드리 오슬러
일반상식,독일 바이에른 첫 번째 총리가 누구야,한스 에르하르트
일반상식,애니메이션 완다가 간다는 누가 만든거야,크레이그 맥크라켄
일반상식,축구선수 오스카르 레네 카르도소 마린은 어느 지역 출신이지,후안 에울로히오 에스티가리비아 출신
일반상식,손흥민이 분데스리가 데뷔할 때 몇 살이었어,18세
일반상식,마쓰다이라 나오노리가 히메지 번을 왜 관리하지 못했지,히메지가 서부 지역 방어의 요지인데 나이 어린 번주는 부적당하다고 판단
일반상식,십알단 배후 운영 혐의로 검찰에 고발된 사람이 누구야,윤정훈
일반상식,RO가 뭐야,지하혁명조직
일반상식,대철십자장은 무슨 계급에게 주는 거야,장성 계급
일반상식,이미자는 언제 데뷔했어,1957년
일반상식,아테네는 헥토르를 어떻게 아킬레우스에게 대항하도록 유도하지,데이포보스로 변하여 헥토르로 하여금 아킬레우스에게 대항하도록 유도
일반상식,삼국시대에 조조가 다스리던 나라는,위
일반상식,통가의 국장은 언제 제정되었어,1875년
일반상식,아시아에서 가장 일찍 국립 공원이 설치 된 나라가 어디야,일본
일반상식,애착이론을 6단계로 정리한 사람은,존 바울비
일반상식,신위를 14살때 불러 크게 칭찬했던 왕이 누구야,정조
일반상식,나가시마가 입학한 고등학교는 어디야,지바 현립 사쿠라 제1 고등학교
일반상식,조선의 국호는,대조선국
